Start,Weekday
1-Jan-21,yes
2-Jan-21,no
3-Jan-21,no
4-Jan-21,yes
5-Jan-21,yes
6-Jan-21,yes
7-Jan-21,yes
8-Jan-21,yes
9-Jan-21,no
10-Jan-21,no
11-Jan-21,yes
12-Jan-21,yes
13-Jan-21,yes
14-Jan-21,yes
15-Jan-21,yes
16-Jan-21,no
17-Jan-21,no
18-Jan-21,yes
19-Jan-21,yes
20-Jan-21,yes
21-Jan-21,yes
22-Jan-21,yes
23-Jan-21,no
24-Jan-21,no
25-Jan-21,yes
26-Jan-21,yes
27-Jan-21,yes
28-Jan-21,yes
29-Jan-21,yes
30-Jan-21,no
31-Jan-21,no
1-Feb-21,yes
2-Feb-21,yes
3-Feb-21,yes
4-Feb-21,yes
5-Feb-21,yes
6-Feb-21,no
7-Feb-21,no
8-Feb-21,yes
9-Feb-21,yes
10-Feb-21,yes
11-Feb-21,yes
12-Feb-21,yes
13-Feb-21,no
14-Feb-21,no
15-Feb-21,yes
16-Feb-21,yes
17-Feb-21,yes
18-Feb-21,yes
19-Feb-21,yes
20-Feb-21,no
21-Feb-21,no
22-Feb-21,yes
23-Feb-21,yes
24-Feb-21,yes
25-Feb-21,yes
26-Feb-21,yes
27-Feb-21,no
28-Feb-21,no
1-Mar-21,yes
2-Mar-21,yes
3-Mar-21,yes
4-Mar-21,yes
5-Mar-21,yes
6-Mar-21,no
7-Mar-21,no
8-Mar-21,yes
9-Mar-21,yes
10-Mar-21,yes
11-Mar-21,yes
12-Mar-21,yes
13-Mar-21,no
14-Mar-21,no
15-Mar-21,yes
16-Mar-21,yes
17-Mar-21,yes
18-Mar-21,yes
19-Mar-21,yes
20-Mar-21,no
21-Mar-21,no
22-Mar-21,yes
23-Mar-21,yes
24-Mar-21,yes
25-Mar-21,yes
26-Mar-21,yes
27-Mar-21,no
28-Mar-21,no
29-Mar-21,yes
30-Mar-21,yes
31-Mar-21,yes
